ClusterID,StartNode,EndNode
4,"Introduction to Moles - AP Chem Unit 1, Topic 1a","Composition of Mixtures - AP Chem, Unit 1, Topic 4"
4,"Introduction to Moles - AP Chem Unit 1, Topic 1a","Deviation from the Ideal Gas Law - AP Chem Unit 3, Topic 6"
4,"Molar Mass and its Applications - AP Chem Unit 1, Topic 1b","Solutions and Mixtures - AP Chemistry Unit 3, Topic 7"
4,"Molar Mass and its Applications - AP Chem Unit 1, Topic 1b","Visually Representing Reactions / Physical vs Chemical Changes - AP Chem Unit 4, Topics 3-4"
4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2","Composition of Mixtures - AP Chem, Unit 1, Topic 4"
4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2","Solutions and Mixtures - AP Chemistry Unit 3, Topic 7"
4,"Isotopes, Atomic Mass, & Mass Spectroscopy - AP Chem Unit 1, Topic 2","Reaction Stoichiometry Made Easy - AP Chemistry Unit 4, Topic 5a"
4,"Composition of Pure Substances - AP Chem Unit 1, Topic 3","Reaction Stoichiometry Made Easy - AP Chemistry Unit 4, Topic 5a"
4,"Composition of Mixtures - AP Chem, Unit 1, Topic 4","Chromatography, Distillation, & Solubility - AP Chem Unit 3, Topics 9-10"
4,"Solids, Liquids, & Gases - AP Chem Unit 3, Topic 3","Visually Representing Reactions / Physical vs Chemical Changes - AP Chem Unit 4, Topics 3-4"
4,"Boyle's Law, Charles' Law, Gay-Lussac's Law - AP Chem Unit 3, Topic 4A","Kinetic-Molecular Theory & Graham's Law - AP Chem Unit 3, Topic 5"
4,"Ideal Gas Law PV=nRT - AP Chem Unit 3, Topic 4B","Stoichiometry Problems - Limiting Reactant & Percent Yield - AP Chem Unit 4, Topic 5b"
4,"Dalton's Law of Partial Pressures / Gas Laws - AP Chem Unit 3, Topic 4c","Spectrophotometry and the Beer-Lambert Law - AP Chem Unit 3, Topic 13"
4,"Kinetic-Molecular Theory & Graham's Law - AP Chem Unit 3, Topic 5","Basics of Solution Stoichiometry - AP Chem Unit 4, Topic 5c"
4,"Kinetic-Molecular Theory & Graham's Law - AP Chem Unit 3, Topic 5","Solving Problems With Solution Stoichiometry - AP Chem Unit 4, Topic 5d"
4,"Deviation from the Ideal Gas Law - AP Chem Unit 3, Topic 6","Representations of Solutions - AP Chem Unit 3, Topic 8A"
4,"Deviation from the Ideal Gas Law - AP Chem Unit 3, Topic 6","Stoichiometry Problems - Limiting Reactant & Percent Yield - AP Chem Unit 4, Topic 5b"
4,"Chromatography, Distillation, & Solubility - AP Chem Unit 3, Topics 9-10","Spectrophotometry and the Beer-Lambert Law - AP Chem Unit 3, Topic 13"
4,"Reaction Stoichiometry Made Easy - AP Chemistry Unit 4, Topic 5a","Solving Problems With Solution Stoichiometry - AP Chem Unit 4, Topic 5d"
2,"Atomic Structure & Coulomb's Law - AP Chem Unit 1, Topic 5a","Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A"
2,"Atomic Structure & Coulomb's Law - AP Chem Unit 1, Topic 5a","Properties of Solids - AP Chem Unit 3, Topic 2"
2,"Electron Configurations - AP Chem Unit 1, Topic 5b","Periodic Trends: Atomic Radius & Ionic Radius - AP Chem Unit 1, Topic 7b"
2,"Photoelectron Spectroscopy - AP Chem Unit 1, Topic 6","Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8"
2,"Photoelectron Spectroscopy - AP Chem Unit 1, Topic 6","Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B"
2,"Periodic Trends: Ionization Energy - AP Chem Unit 1, Topic 7a","Types of Chemical Bonds - AP Chem Unit 2, Topic 1"
2,"Periodic Trends: Ionization Energy - AP Chem Unit 1, Topic 7a","Energy, Ionic Solids, Metals, & Alloys - AP Chem Unit 2, Topics 2-4"
2,"Periodic Trends: Atomic Radius & Ionic Radius - AP Chem Unit 1, Topic 7b","Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8"
2,"Periodic Trends: Electronegativity - AP Chem Unit 1, Topic 7c","VSEPR Theory & Molecular Geometry - AP Chem Unit 2, Topic 7B"
2,"Periodic Trends: Electronegativity - AP Chem Unit 1, Topic 7c","The Nature of Light - Waves, Photons, & Energy - AP Chem Unit 3, Topic 12"
2,"Valence Electrons & Ionic Compounds - AP Chem Unit 1, Topic 8","Electrolytes, Nonelectrolytes, & Dissociation into Ions - AP Chem Unit 3, Topic 8B"
2,"Types of Chemical Bonds - AP Chem Unit 2, Topic 1","Resonance and Formal Charge - AP Chem Unit 2, Topic 6"
2,"Energy, Ionic Solids, Metals, & Alloys - AP Chem Unit 2, Topics 2-4","Lewis Electron-Dot Diagrams - AP Chem Unit 2, Topic 5A"
2,"Exceptions to the Octet Rule - AP Chem Unit 2, Topic 5B","Sigma & Pi Bonds; Hybridization - AP Chem Unit 2, Topic 7A"
2,"Resonance and Formal Charge - AP Chem Unit 2, Topic 6","Electrolytes, Nonelectrolytes, & Dissociation into Ions - AP Chem Unit 3, Topic 8B"
2,"Intermolecular Forces - London dispersion forces - AP Chem Unit 3, Topic 1A","The Nature of Light - Waves, Photons, & Energy - AP Chem Unit 3, Topic 12"
2,"Types of Intermolecular Forces - AP Chem Unit 3, Topic 1B","Waves, Light, and Photons - AP Chem Unit 3, Topic 11"
2,"Properties of Solids - AP Chem Unit 3, Topic 2","Waves, Light, and Photons - AP Chem Unit 3, Topic 11"
2,"Properties of Solids - AP Chem Unit 3, Topic 2","The Nature of Light - Waves, Photons, & Energy - AP Chem Unit 3, Topic 12"
0,"Introduction for Reactions & Equations - AP Chem Unit 4, Topics 1-2a","Introduction to Redox Reactions - AP Chem Unit 4, Topic 9A"
0,"Introduction for Reactions & Equations - AP Chem Unit 4, Topics 1-2a","Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c"
0,"Writing Net Ionic Equations - AP Chemistry Unit 4, Topic 2b","Predicting Products of Reactions - AP Chem Unit 4, Topic 2c"
0,"Writing Net Ionic Equations - AP Chemistry Unit 4, Topic 2b","Introduction to Redox Reactions - AP Chem Unit 4, Topic 9A"
0,"Predicting Products of Reactions - AP Chem Unit 4, Topic 2c","Electrochemistry and Galvanic Cells - AP Chem Unit 9, Topic 7a"
0,"Types of Chemical Reactions - AP Chemistry Unit 4, Topic 7A","Electrochemistry and Galvanic Cells - AP Chem Unit 9, Topic 7a"
0,"How to Determine Oxidation State for ANY Atom - AP Chem Unit 4, Topic 7b","Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c"
0,"Introduction to Redox Reactions - AP Chem Unit 4, Topic 9A","Redox Reactions: Halogens, Disproportionation, & Acids - AP Chem Unit 4, Topic 9b"
0,"Balancing Oxidation-Reduction Reactions - AP Chem Unit 4, Topic 9c","Electrochemistry and Galvanic Cells - Practice Problems - AP Chem Unit 9, Topic 7b"
3,"Introduction to Titration - AP Chemistry Unit 4, Topic 6","Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4"
3,"Introduction to Acid-Base Chemistry - AP Chemistry Unit 4, Topic 8","Acid-Base Titrations - What You Should Know - AP Chem Unit 8, Topic 5a"
3,"Acids, Bases, and the pH Concept - AP Chem Unit 8, Topic 1a","Let's Solve Weak Acid Problems! - AP Chemistry Unit 8, Topic 3a"
3,"Acids, Bases, and the pH Concept - AP Chem Unit 8, Topic 1a","Analyzing Titrations of Weak Acids & Strong Bases - AP Chem Unit 8, Topic 5b"
3,"Acids, Bases, and the pH Concept - AP Chem Unit 8, Topic 1a","Molecular Structure of Acids and Bases - AP Chem Unit 8, Topic 6"
3,"Calculations With pH and pOH - AP Chemistry Unit 8, Topic 1B","Let's Solve Weak Base Problems! - AP Chem Unit 8, Topic 3c"
3,"How to Calculate pH & pOH for Strong Acids & Bases - AP Chem Unit 8, Topic 2","Weak Acids - Problem Walkthroughs - AP Chem Unit 8, Topic 3b"
3,"How to Calculate pH & pOH for Strong Acids & Bases - AP Chem Unit 8, Topic 2","Special Types of Acid-Base Titrations - AP Chem Unit 8, Topic 5c"
3,"Weak Acids - Problem Walkthroughs - AP Chem Unit 8, Topic 3b","Acid-Base Titrations - What You Should Know - AP Chem Unit 8, Topic 5a"
3,"Let's Solve Weak Base Problems! - AP Chem Unit 8, Topic 3c","Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4"
3,"Let's Solve Weak Base Problems! - AP Chem Unit 8, Topic 3c","pH and pKa - Analyzing Titration Curves - AP Chem Unit 8, Topic 7"
3,"Acid-Base Reactions and pH Calculations - AP Chem Unit 8, Topic 4","Molecular Structure of Acids and Bases - AP Chem Unit 8, Topic 6"
3,"Analyzing Titrations of Weak Acids & Strong Bases - AP Chem Unit 8, Topic 5b","What You Need to Know About Buffers - AP Chem Unit 8, Topics 8-10"
3,"Special Types of Acid-Base Titrations - AP Chem Unit 8, Topic 5c","What You Need to Know About Buffers - AP Chem Unit 8, Topics 8-10"
1,"Reaction Rates & Introduction to Kinetics - AP Chem Unit 5, Topic 1","How to Calculate Enthalpy of Reaction - AP Chem Unit 6, Topic 6a"
1,"Introduction to Rate Laws - AP Chem Unit 5, Topic 2","Reaction Mechanisms & Multistep Reactions - AP Chem Unit 5, Topics 7-10"
1,"Introduction to Rate Laws - AP Chem Unit 5, Topic 2","Kinetic Control - ΔG and the Equilibrium Constant - AP Chem Unit 9, Topics 4-5"
1,"Concentration Changes Over Time - AP Chem Unit 5, Topic 3","Calorimetry, Specific Heat Capacity, and Q=MCΔT - AP Chem Unit 6, Topic 4"
1,"Concentration Changes Over Time - AP Chem Unit 5, Topic 3","What You Need to Know About Entropy - AP Chem Unit 9, Topic 1"
1,"How Reactions Happen: Steps, Collisions, & Energy - AP Chem Unit 5, Topics 4, 5, and 6","Calculating ΔH Using Bond Enthalpies - AP Chem Unit 6, Topic 7"
1,"How Reactions Happen: Steps, Collisions, & Energy - AP Chem Unit 5, Topics 4, 5, and 6","Manipulating Reactions and Its Effect on the Equilibrium Constant - AP Chem Unit 7, Topic 6"
1,"How Reactions Happen: Steps, Collisions, & Energy - AP Chem Unit 5, Topics 4, 5, and 6","Representations of Equilibrium - AP Chem Unit 7, Topic 8"
1,"Reaction Mechanisms & Multistep Reactions - AP Chem Unit 5, Topics 7-10",Writing an Equilibrium Constant Expression - AP Chem Unit 7 Topics 2-3 #apchem #apchemistry
1,"Catalysis in Chemical Reactions - AP Chem Unit 5, Topic 11","Problem Walkthroughs - Enthalpy of Reaction - AP Chem Unit 6, Topic 6b"
1,"Catalysis in Chemical Reactions - AP Chem Unit 5, Topic 11","Calculating ΔG with Thermodynamic Coupling - AP Chem Unit 9, Topic 6"
1,Introduction to Thermodynamics - AP Chemistry Unit 6 Topic 1,"Calorimetry, Specific Heat Capacity, and Q=MCΔT - AP Chem Unit 6, Topic 4"
1,Introduction to Thermodynamics - AP Chemistry Unit 6 Topic 1,"How to Calculate ΔS Change in Entropy - AP Chem Unit 9, Topic 2"
1,"How Heat Flows in Chemical Systems - AP Chem Unit 6, Topics 2-3","Phase Changes and Energy - AP Chemistry Unit 6, Topic 5"
1,"How Heat Flows in Chemical Systems - AP Chem Unit 6, Topics 2-3","Magnitude of the Equilibrium Constant - AP Chem Unit 7, Topics 4-5"
1,"Phase Changes and Energy - AP Chemistry Unit 6, Topic 5","Hess's Law and ΔH - Let's Practice! AP Chemistry Unit 6, Topic 9"
